date,positiveIncrease,positive,deathIncrease,death,,,,,
2/28/20,1,1,0,0,,,,,
2/29/20,0,1,0,0,,,,,
3/1/20,1,2,0,0,,,,,
3/2/20,0,2,0,0,,,,,
3/3/20,0,2,0,0,,,,,
3/4/20,0,2,0,0,,,,,
3/5/20,3,5,0,0,,,,,
3/6/20,1,6,0,0,,,,,
3/7/20,0,6,0,0,,,,,
3/8/20,1,7,0,0,,,,,
3/9/20,2,9,0,0,,,,,
3/10/20,2,11,0,0,,,,,
3/11/20,4,15,0,0,,,,,
3/12/20,1,16,0,0,,,,,
3/13/20,7,23,0,0,,,,,
3/14/20,7,30,0,0,,,,,
3/15/20,5,35,0,0,,,,,
3/16/20,7,42,0,0,,,,,
3/17/20,7,49,0,0,,,,,
3/18/20,5,54,0,0,,,,,
3/19/20,5,59,0,0,,,,,
3/20/20,4,63,0,0,,,,,
3/21/20,4,67,0,0,,,,,
3/22/20,4,71,0,0,,,,,
3/23/20,8,79,0,0,,,,,
3/24/20,4,83,0,0,,,,,
3/25/20,6,89,0,0,,,,,
3/26/20,7,96,0,0,,,,,
3/27/20,9,105,0,0,,,,,
3/28/20,10,115,0,0,,,,,
3/29/20,10,125,0,0,,,,,
3/30/20,23,148,0,0,,,,,
3/31/20,14,162,0,0,,,,,
4/1/20,12,174,0,0,,,,,
4/2/20,44,218,0,0,,,,,
4/3/20,14,232,0,0,,,,,
4/4/20,13,245,0,0,,,,,
4/5/20,7,252,3,3,,,,,
4/6/20,58,310,0,3,,,,,
4/7/20,19,329,0,3,,,,,
4/8/20,15,344,3.142857143,6.142857143,,,,,
4/9/20,9,353,3.142857143,9.285714286,,,,,
4/10/20,24,377,3.142857143,12.42857143,,,,,
4/11/20,17,394,3.142857143,15.57142857,,,,,
4/12/20,7,401,3.142857143,18.71428571,,,,,
4/13/20,13,414,3.142857143,21.85714286,,,,,
4/14/20,42,456,3.142857143,25,,,,,
4/15/20,12,468,4.714285714,29.71428571,,,,,
4/16/20,20,488,4.714285714,34.42857143,,,,,
4/17/20,57,545,4.714285714,39.14285714,,,,,
4/18/20,15,560,4.714285714,43.85714286,,,,,
4/19/20,12,572,4.714285714,48.57142857,,,,,
4/20/20,11,583,4.714285714,53.28571429,,,,,
4/21/20,12,595,4.714285714,58,,,,,
4/22/20,12,607,1.857142857,59.85714286,,,,,
4/23/20,7,614,1.857142857,61.71428571,,,,,
4/24/20,6,620,1.857142857,63.57142857,,,,,
4/25/20,1,621,1.857142857,65.42857143,,,,,
4/26/20,6,627,1.857142857,67.28571429,,,,,
4/27/20,15,642,1.857142857,69.14285714,,,,,
4/28/20,5,647,1.857142857,71,,,,,
4/29/20,7,654,2.142857143,73.14285714,,,,,
4/30/20,3,657,2.142857143,75.28571429,,,,,
5/1/20,10,667,2.142857143,77.42857143,,,,,
5/2/20,4,671,2.142857143,79.57142857,,,,,
5/3/20,5,676,2.142857143,81.71428571,,,,,
5/4/20,3,679,2.142857143,83.85714286,,,,,
5/5/20,2,681,2.142857143,86,,,,,
5/6/20,8,689,1.428571429,87.42857143,,,,,
5/7/20,3,692,1.428571429,88.85714286,,,,,
5/8/20,3,695,1.428571429,90.28571429,,,,,
5/9/20,2,697,1.428571429,91.71428571,,,,,
5/10/20,1,698,1.428571429,93.14285714,,,,,
5/11/20,4,702,1.428571429,94.57142857,,,,,
5/12/20,2,704,1.428571429,96,,,,,
5/13/20,6,710,1.285714286,97.28571429,,,,,
5/14/20,1,711,1.285714286,98.57142857,,,,,
5/15/20,5,716,1.285714286,99.85714286,,,,,
5/16/20,2,718,1.285714286,101.1428571,,,,,
5/17/20,1,719,1.285714286,102.4285714,,,,,
5/18/20,6,725,1.285714286,103.7142857,,,,,
5/19/20,6,731,1.285714286,105,,,,,
5/20/20,2,733,0.285714286,105.2857143,,,,,
5/21/20,3,736,0.285714286,105.5714286,,,,,
5/22/20,9,745,0.285714286,105.8571429,,,,,
5/23/20,2,747,0.285714286,106.1428571,,,,,
5/24/20,1,748,0.285714286,106.4285714,,,,,
5/25/20,0,748,0.285714286,106.7142857,,,,,
5/26/20,4,752,0.285714286,107,,,,,
5/27/20,2,754,1.285714286,108.2857143,,,,,
5/28/20,1,755,1.285714286,109.5714286,,,,,
5/29/20,2,757,1.285714286,110.8571429,,,,,
5/30/20,0,757,1.285714286,112.1428571,,,,,
5/31/20,1,758,1.285714286,113.4285714,,,,,
6/1/20,1,759,1.285714286,114.7142857,,,,,
6/2/20,0,759,1.285714286,116,,,,,
