StateName,State,Pop
Alaska,AK,710231
Alabama,AL,4779735
Arkansas,AR,2915921
Arizona,AZ,6329013
California,CA,37253956
Colorado,CO,5029196
Connecticut,CT,3574097
DC,DC,702455
Delaware,DE,897934
Florida,FL,18801311
Georgia,GA,9687653
Hawaii,HI,1360301
Iowa,IA,3046350
Idaho,ID,1567582
Illinois,IL,12830632
Indiana,IN,6483800
Kansas,KS,2853118
Kentucky,KY,4339362
Louisiana,LA,4533372
Massachusetts,MA,6547629
Maryland,MD,5773552
Maine,ME,1328361
Michigan,MI,9883635
Minnesota,MN,5303925
Missouri,MO,5988927
Mississippi,MS,2967297
Montana,MT,989415
North Carolina,NC,9535475
North Dakota,ND,672591
Nevada,NE,2700551
New Hampshire,NH,1316472
New Jersey,NJ,8791894
New Mexico,NM,2059180
Nebraska,NV,1826341
New York,NY,19378104
Ohio,OH,11536502
Oklahoma,OK,3751354
Oregon,OR,3831074
Pennsylvania,PA,12702379
PR,PR,3195153
Rhode Island,RI,1052567
South Carolina,SC,4625364
South Dakota,SD,814180
Tennessee,TN,6346110
Texas,TX,25145561
Utah,UT,2763885
Virginia,VA,8001024
Vermont,VT,625741
Washington,WA,6724540
Wisconsin,WI,5686986
West Virginia,WV,1852996
Wyoming,WY,563626
